dataset,config,seen60_mean,seen60_std,new150_mean,new150_std,all210_mean,all210_std,epochs_mean,seen60,new150,all210,epochs
dataset1_clean,mlp_16_tanh,0.9866666666666667,0.007453559924999334,0.9773333333333334,0.016733200530681457,0.9800000000000001,0.013213749452868219,802.6,0.987 ± 0.007,0.977 ± 0.017,0.980 ± 0.013,803
dataset1_clean,mlp_32_16_relu_l2,0.9633333333333333,0.036132472314464634,0.9493333333333333,0.03353273690655813,0.9533333333333334,0.03373902777889208,472.6,0.963 ± 0.036,0.949 ± 0.034,0.953 ± 0.034,473
dataset1_clean,mlp_16_8_relu_l2,0.95,0.06561673228343173,0.9466666666666667,0.03366501646120698,0.9476190476190476,0.04232473532055042,544.8,0.950 ± 0.066,0.947 ± 0.034,0.948 ± 0.042,545
dataset1_clean,mlp_8_relu,0.9333333333333333,0.04564354645876387,0.9253333333333333,0.04381780460041327,0.9276190476190476,0.04382504900892781,537.2,0.933 ± 0.046,0.925 ± 0.044,0.928 ± 0.044,537
dataset1_clean,softmax_linear,0.8633333333333333,0.007453559924999323,0.8893333333333334,0.0036514837167010653,0.881904761904762,0.0021295885499997905,690.0,0.863 ± 0.007,0.889 ± 0.004,0.882 ± 0.002,690
dataset2_noisy,mlp_16_8_relu_l2,0.8966666666666667,0.01394433377556794,0.9373333333333334,0.02928784351531832,0.9257142857142856,0.020647127036836993,306.0,0.897 ± 0.014,0.937 ± 0.029,0.926 ± 0.021,306
dataset2_noisy,mlp_16_tanh,0.8800000000000001,0.021730674684008827,0.9373333333333334,0.0036514837167010523,0.9209523809523809,0.00638876564999944,338.2,0.880 ± 0.022,0.937 ± 0.004,0.921 ± 0.006,338
dataset2_noisy,mlp_32_16_relu_l2,0.89,0.01490711984999861,0.9333333333333333,0.024494897427831848,0.9209523809523809,0.016357680035540598,479.2,0.890 ± 0.015,0.933 ± 0.024,0.921 ± 0.016,479
dataset2_noisy,mlp_8_relu,0.8833333333333334,0.016666666666666625,0.9119999999999999,0.028047578623950152,0.9038095238095238,0.01628822035855916,446.2,0.883 ± 0.017,0.912 ± 0.028,0.904 ± 0.016,446
dataset2_noisy,softmax_linear,0.9,0.01178511301977577,0.8933333333333333,0.006666666666666664,0.8952380952380953,0.003367175148507403,732.6,0.900 ± 0.012,0.893 ± 0.007,0.895 ± 0.003,733
